Frozen ^xvbn+++xvbn+=Frozen
grids ^nns++++=grids
were ^vbd+bed+vrb++=were
imaged ^nn+++??+=imaged
using ^vwbg+++xvbg+=using
a ^at++++=a
300 ^cd++++=300
kv ^nnu++++=kV
Titan ^nn++++=Titan
Krios ^np+++??+=Krios
with ^in++++=with
a ^at++++=a
Gatan ^np+++??+=Gatan
K2 ^zz++++=K2
direct ^jj+atrb+++=direct
electron ^nn++++=electron
detector ^nn+++??+=detector
and ^cc++++=and
Gif ^np+++??+=GIF
energy ^nn++++=energy
filter ^nn++++=filter
with ^in++++=with
slit ^jj+atrb++xvbn+=slit
width ^nn++++=width
of ^in++++=of
20 ^cd++++=20
ev ^nn+++??+=eV.
. ^zz++++=EXTRAWORD
Tilt ^nn++++=Tilt-series
- ^zz++++=EXTRAWORD
series ^nn++++=EXTRAWORD
were ^vbd+bed+aux++=were
collected ^vpsv++agls+xvbnx+=collected
in ^in++++=in
a ^at++++=a
dose ^nn++++=dose-symmetric
- ^zz++++=EXTRAWORD
symmetric ^nn+++??+=EXTRAWORD
tilting ^vwbg+++xvbg+=tilting
scheme ^nn++++=scheme
from ^in++++=from
54 ^cd++++=54
to ^to++++=to
+ ^zz++++=+54
54 ^cd++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
step ^nn++++=step
size ^nn++++=size
of ^in++++=of
3 ^zz++++=3
using ^jj+++xvbg+=using
Leginon ^np+++??+=Leginon
( ^zz++++=(
Carragher ^np++++=Carragher
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2000 ^cd++++=2000
9 ^zz++++=9.
. ^zz++++=EXTRAWORD
Carragher ^np+++??+=Carragher,
, ^zz++++=EXTRAWORD
B ^zz++++=B.
. ^zz++++=EXTRAWORD
Kisseberth ^np+++??+=Kisseberth,
, ^zz++++=EXTRAWORD
N ^zz++++=N.
. ^zz++++=EXTRAWORD
Kriegman ^np+++??+=Kriegman,
, ^zz++++=EXTRAWORD
D ^zz++++=D.
. ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Leginon ^np+++??+=Leginon:
: ^zz++++=EXTRAWORD
an ^at++++=an
automated ^nn+++??+=automated
system ^nn++++=system
for ^in++++=for
acquisition ^nn++++=acquisition
of ^in++++=of
images ^nns++++=images
from ^in++++=from
vitreous ^nns+++??+=vitreous
ice ^nn++++=ice
specimens ^nns++++=specimens
J ^zz++++=J.
. ^zz++++=EXTRAWORD
Struct ^np+++??+=Struct.
. ^zz++++=EXTRAWORD
Biol ^np+++??+=Biol.
. ^zz++++=EXTRAWORD
2000 ^cd++++=2000;
; ^zz++++=EXTRAWORD
132 ^cd++++=132
: ^zz++++=:33-45
33 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
45 ^cd++++=EXTRAWORD
Crossref ^np+++??+=Crossref
Scopus ^np+++??+=Scopus
( ^zz++++=(246)
246 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
) ^zz++++=)
software ^nn+++??+=software.
. ^zz++++=EXTRAWORD
Tilt ^nn++++=Tilt-series
- ^zz++++=EXTRAWORD
series ^nn++++=EXTRAWORD
were ^vbd+bed+aux++=were
collected ^vpsv++agls+xvbnx+=collected
in ^in++++=in
counting ^xvbg+++xvbg+=counting
mode ^nn++++=mode
at ^in++++=at
a ^at++++=a
magnification ^nn+++??+=magnification
of ^in++++=of
53000x ^cd++++=53000X,
, ^zz++++=EXTRAWORD
corresponding ^jj+++xvbg+=corresponding
to ^in++++=to
a ^at++++=a
pixel ^nn+++??+=pixel
size ^nn++++=size
of ^in++++=of
2.58 ^cd++++=2.58
per ^nnu++++=per
pixel ^nn+++??+=pixel.
. ^zz++++=EXTRAWORD
The ^ati++++=The
total ^jj+atrb+++=total
dose ^nn++++=dose
per ^nnu++++=per
tilt ^vb++++=tilt
series ^nn++++=series
was ^vbd+bedz+vrb++=was
64 ^cd++++=64-68
- ^zz++++=EXTRAWORD
68 ^cd++++=EXTRAWORD
e ^zz++++=e
2 ^zz++++=2
. ^zz++++=.
A ^at++++=A
Total ^nn++++=total
Of ^in++++=of
9 ^cd++++=49
Tilt ^nn++++=tilt-series
 ^zz++++=EXTRAWORD
Series ^nn++++=EXTRAWORD
Were ^vbd+bed+aux++=were
Collected ^vbd+++xvbn+=collected.
 ^zz++++=EXTRAWORD
