Regulatory ^np+++??+=Regulatory
landscapes ^nns++++=landscapes
drive ^vb++++=drive
complex ^jj+atrb+++=complex
developmental ^nn+nom+++=developmental
gene ^np++++=gene
expression ^nn++++=expression,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
remains ^nns++++=remains
unclear ^nn+++??+=unclear
how ^wrb+who+++=how
their ^pp$+pp3+++=their
integrity ^nn+nom+++=integrity
is ^vbz+bez+aux++=is
maintained ^vpsv++agls+xvbnx+=maintained
when ^wrb+who+whcl++=when
incorporating ^vbg+++xvbg+=incorporating
novel ^nn++++=novel
genes ^nns++++=genes
and ^cc++++=and
functions ^nns+nom+++=functions
during ^in++++=during
evolution ^nn+nom+++=evolution.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
investigated ^vbd+++xvbn+=investigated
how ^wrb+who+++=how
a ^at++++=a
placental ^jj++++=placental
mammal ^jj++++=mammal-specific
- ^zz++++=EXTRAWORD
specific ^jj+atrb+++=EXTRAWORD
gene ^np++++=gene,
, ^zz++++=EXTRAWORD
Zfp42 ^np+++??+=Zfp42
, ^zz++++=,
emerged ^j+++xvbn+=emerged
in ^in++++=in
an ^at++++=an
ancient ^jj+atrb+++=ancient
vertebrate ^nn+nom+++=vertebrate
topologically ^rb++++=topologically
associated ^jj+atrb++xvbn+=associated
domain ^nn++++=domain
( ^zz++++=(TAD)
tad ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
without ^in++++=without
adopting ^xvbg+++xvbg+=adopting
or ^cc++++=or
disrupting ^xvbg+++xvbg+=disrupting
the ^ati++++=the
conserved ^jj+atrb++xvbn+=conserved
expression ^nn++++=expression
of ^in++++=of
its ^pp$+it+++=its
gene ^np++++=gene,
, ^zz++++=EXTRAWORD
Fat1 ^np+++??+=Fat1
. ^zz++++=.
In ^in++++=In
Escs ^np+++??+=ESCs,
, ^zz++++=EXTRAWORD
physical ^jj+atrb+++=physical
Tad ^np+++??+=TAD
partitioning ^xvbg+++xvbg+=partitioning
separates ^nns+nom+++=separates
Zfp42 ^np+++??+=Zfp42
and ^cc++++=and
Fat1 ^np+++??+=Fat1
with ^in++++=with
distinct ^jj+atrb+++=distinct
local ^jj+atrb+++=local
enhancers ^nns+nom+++=enhancers
