Collectively ^np+++??+=Collectively,
, ^zz++++=EXTRAWORD
this ^dt+pdem+++=this
demonstrates ^nns+nom+++=demonstrates
that ^tht+vcmp+++=that
a ^at++++=a
monogenic ^nn++++=monogenic
Tad ^np+++??+=TAD
can ^md+pos+++=can
incorporate ^nn+nom+++=incorporate
new ^jj+atrb+++=new
genes ^nns++++=genes
with ^in++++=with
independent ^jj+atrb+++=independent
expression ^nn++++=expression
patterns ^nns++++=patterns
without ^in++++=without
disrupting ^xvbg+++xvbg+=disrupting
its ^pp$+it+++=its
pre ^nn+++??+=pre-existing
- ^zz++++=EXTRAWORD
existing ^vbg+++xvbg+=EXTRAWORD
gene ^np++++=gene
s ^zz++++=s
expression ^nn++++=expression.
. ^zz++++=EXTRAWORD
As ^ql++++=As
such ^abl++++=such,
, ^zz++++=EXTRAWORD
currently ^rb++++=currently
unknown ^jj+atrb+++=unknown
mechanisms ^nns+nom+++=mechanisms
must ^md+nec+++=must
control ^vb++++=control
which ^whp+rel+obj++=which
enhancers ^nns+nom+++=enhancers
Fat1 ^np+++??+=Fat1
and ^cc++++=and
Zfp42r ^np+++??+=Zfp42R
Genes ^nns++++=genes
Utilize ^vb++++=utilize
In ^in++++=in
Their ^pp$+pp3+++=their
Shared ^vprf+++xvbn+=shared
Placental ^jj+atrb+++=placental
Mammal ^jj+atrb+++=mammal
Landscape ^nn++++=landscape.
 ^zz++++=EXTRAWORD
