Background ^nn++++=Background:
: ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+aux++=is
ongoing ^nn+++??+=ongoing
debate ^vb++++=debate
about ^in++++=about
the ^ati++++=the
effects ^nns++++=effects
of ^in++++=of
hormones ^nns++++=hormones
on ^in++++=on
the ^ati++++=the
lateralization ^nn+++??+=lateralization
of ^in++++=of
the ^ati++++=the
developing ^jj+atrb++xvbg+=developing
brain ^nn++++=brain.
. ^zz++++=EXTRAWORD
In ^in++++=In
humans ^nns++++=humans,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
conflicting ^jj+atrb+++=conflicting
theories ^nns++++=theories
of ^in++++=of
how ^wrb+who+++=how
testosterone ^nn+++??+=testosterone
during ^in++++=during
development ^nn++++=development
should ^md+nec+++=should
affect ^vb++++=affect
lateralization ^nn+++??+=lateralization.
. ^zz++++=EXTRAWORD
Empirical ^jj+atrb+++=Empirical
studies ^nns++++=studies
linking ^vwbg+++xvbg+=linking
prenatal ^nn+++??+=prenatal
and ^cc++++=and
postnatal ^nn+++??+=postnatal
testosterone ^nn+++??+=testosterone
levels ^nns++++=levels
to ^in++++=to
hand ^nn++++=hand
preference ^nn++++=preference
( ^zz++++=(a
a ^at++++=EXTRAWORD
proxy ^nn+++??+=proxy
for ^in++++=for
lateralization ^nn+++??+=lateralization)
) ^zz++++=EXTRAWORD
are ^vb+ber+aux++=are
similarly ^rb+cnj+splt++=similarly
mixed ^vpsv++agls+xvbnx+=mixed.
. ^zz++++=EXTRAWORD
Links ^nns++++=Links
between ^in++++=between
hand ^nn++++=hand
preference ^nn++++=preference
and ^cc++++=and
health ^nn++++=health
may ^md+pos+++=may
also ^rb++splt++=also
suggest ^vb+vpub+++=suggest
a ^at++++=a
mediating ^jj+atrb+++=mediating
role ^nn++++=role
of ^in++++=of
steroid ^nn+++??+=steroid
hormones ^nns++++=hormones
such ^abl++++=such
as ^ql++++=as
testosterone ^vb+++??+=testosterone
and ^cc++++=and
estradiol ^nn+++??+=estradiol.
. ^zz++++=EXTRAWORD
Studies ^nns++++=Studies
to ^in++++=to
date ^nn++++=date
of ^in++++=of
adult ^nn++++=adult
steroid ^nn+++??+=steroid
hormones ^nns++++=hormones
and ^cc++++=and
handedness ^nns+++??+=handedness
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
hindered ^vpsv++by+xvbnx+=hindered
by ^in++++=by
samples ^nns++++=samples
that ^tht+rel+subj++=that
contain ^vb++++=contain
small ^jj+atrb+++=small
numbers ^nns++++=numbers
of ^in++++=of
non ^&fw++++=non-right-handers.
- ^zz++++=EXTRAWORD
right-handers. ^nn++++=EXTRAWORD
