Future ^jjb+atrb+++=Future
research ^nn++++=research
could ^md+pos+++=could
also ^rb++splt++=also
measure ^vb++++=measure
whether ^cs+who+++=whether
adolescents ^nns++++=adolescents
themselves ^ppls+pp3+++=themselves
would ^md+prd+++=would
want ^vb++++=want
to ^to+vcmp+++=to
be ^vbi++vrb++=be
friends ^nns++++=friends
with ^in++++=with
lowor ^nn+++??+=lowor
high ^jj++++=high-SES
- ^zz++++=EXTRAWORD
ses ^nns+++??+=EXTRAWORD
students ^nns++++=students,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
own ^ap++++=own
desire ^nn++++=desire
for ^in++++=for
cross ^jj++++=cross-group
- ^zz++++=EXTRAWORD
group ^nn++++=EXTRAWORD
friendship ^nn++++=friendship
or ^cc++++=or
their ^pp$+pp3+++=their
actual ^jj++++=actual
cross ^jj++++=cross-group
- ^zz++++=EXTRAWORD
group ^nn++++=EXTRAWORD
friendship ^nn++++=friendship.
. ^zz++++=EXTRAWORD
To ^to++++=To
fully ^rb+amp+splt++=fully
understand ^vbi+vprv+++=understand
how ^wrb+who+whcl++=how
cross ^jj++++=cross-group
- ^zz++++=EXTRAWORD
group ^nn++++=EXTRAWORD
friendships ^nns++++=friendships
emerge ^vb++++=emerge
in ^in++++=in
societies ^nns++++=societies
with ^in++++=with
strong ^jj+atrb+++=strong
societal ^nn+++??+=societal
inequalities ^nns++++=inequalities,
, ^zz++++=EXTRAWORD
a ^at++++=a
combined ^jj+atrb++xvbn+=combined
approach ^nn++++=approach
of ^in++++=of
adolescents ^nns++++=adolescents
expectations ^nns++++=expectations,
, ^zz++++=EXTRAWORD
own ^ap++++=own
desire ^nn++++=desire
for ^in++++=for
friendship ^nn++++=friendship
and ^cc++++=and
social ^jj+atrb+++=social
network ^nn++++=network
data ^nns++++=data
on ^in++++=on
their ^pp$+pp3+++=their
realized ^vbn+vprv+tht0+xvbn+=realized
friendships ^nns++++=friendships
would ^md+prd+++=would
provide ^vb+vsua+++=provide
much ^ap++++=much
needed ^jj+atrb++xvbn+=needed
information ^nn++++=information
regarding ^in++++=regarding
the ^ati++++=the
role ^nn++++=role
of ^in++++=of
Ses ^np+++??+=SES
in ^in++++=in
adolescent ^jj+atrb+++=adolescent
development ^nn++++=development.
. ^zz++++=EXTRAWORD
By ^in++++=By
using ^xvbg+++xvbg+=using
this ^dt+dem+++=this
approach ^nn++++=approach,
, ^zz++++=EXTRAWORD
peer ^nn++++=peer
influences ^nns++++=influences
on ^in++++=on
adolescents ^nns++++=adolescents
developing ^vwbg+++xvbg+=developing
understanding ^nvbg+++xvbg+=understanding
of ^in++++=of
societal ^nn+++??+=societal
inequalities ^nns++++=inequalities
could ^md+pos+++=could
be ^vb+be+aux++=be
investigated ^vpsv++agls+xvbnx+=investigated
in ^in++++=in
addition ^nn++++=addition
to ^in++++=to
parental ^jj+atrb+++=parental
socialization ^nn+++??+=socialization.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
would ^md+prd+++=would
be ^vb+be+vrb++=be
beneficial ^jj+pred+++=beneficial
to ^to++++=to
obtain ^vbi++++=obtain
parental ^jj+atrb+++=parental
data ^nns++++=data
about ^in++++=about
their ^pp$+pp3+++=their
attitudes ^nns++++=attitudes
and ^cc++++=and
expectations ^nns++++=expectations
for ^in++++=for
cross ^jj++++=cross-SES
- ^zz++++=EXTRAWORD
ses ^nns+++??+=EXTRAWORD
friendships ^nns++++=friendships
for ^in++++=for
their ^pp$+pp3+++=their
adolescents ^nns++++=adolescents.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
the ^ati++++=the
current ^jj+atrb+++=current
study ^nn++++=study
investigated ^vbd+++xvbn+=investigated
adolescents ^nns++++=adolescents
understanding ^vwbg+++xvbg+=understanding
of ^in++++=of
parental ^jj+atrb+++=parental
socialization ^nn+++??+=socialization,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
did ^vbd+dod+aux++=did
not ^xnot++not++=not
directly ^rb++++=directly
measure ^vb++++=measure
parental ^jj+atrb+++=parental
socialization ^nn+++??+=socialization.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus,
, ^zz++++=EXTRAWORD
future ^jjb+atrb+++=future
research ^nn++++=research
could ^md+pos+++=could
investigate ^vb++++=investigate,
, ^zz++++=EXTRAWORD
from ^in++++=from
a ^at++++=a
longitudinal ^jj+atrb+++=longitudinal
perspective ^nn++++=perspective,
, ^zz++++=EXTRAWORD
whether ^cs+who+++=whether
adolescents ^nns++++=adolescents
expectations ^nns++++=expectations
about ^in++++=about
lowand ^nn+++??+=lowand
high ^jj++++=high-SES
- ^zz++++=EXTRAWORD
ses ^nns++++=EXTRAWORD
parental ^jj+atrb+++=parental
expectations ^nns++++=expectations
predict ^vb+vpub+++=predict
their ^pp$+pp3+++=their
own ^ap++++=own
friendship ^nn++++=friendship
choices ^nns++++=choices.
. ^zz++++=EXTRAWORD
