Alternatively ^rb+cnj+++=Alternatively,
, ^zz++++=EXTRAWORD
the ^ati++++=the
position ^nn+nom+++=position
of ^in++++=of
the ^ati++++=the
hematite ^nn++++=hematite
residues ^nns++++=residues
on ^in++++=on
the ^ati++++=the
interior ^nn++++=interior
of ^in++++=of
the ^ati++++=the
perforations ^nns+nom+++=perforations,
, ^zz++++=EXTRAWORD
within ^in++++=within
the ^ati++++=the
natural ^jj+atrb+++=natural
microfissures ^nns+++??+=microfissures
in ^in++++=in
the ^ati++++=the
ivory ^nn++++=ivory
support ^nn++++=support,
, ^zz++++=EXTRAWORD
may ^md+pos+++=may
indicate ^nn+nom+++=indicate
that ^tht+vcmp+++=that
the ^ati++++=the
beads ^nns++++=beads
were ^vbd+bed+aux++=were
sewn ^vprf+++xvbn+=sewn
onto ^in++++=onto
ocher ^jjr++++=ocher-covered
- ^zz++++=EXTRAWORD
covered ^jj+atrb++xvbn+=EXTRAWORD
clothing ^nn++++=clothing
or ^cc++++=or
fabric ^nn++++=fabric
or ^cc++++=or
were ^vbd+bed+aux++=were
strung ^vpsv++agls+xvbnx+=strung
on ^in++++=on
strings ^nns++++=strings
or ^cc++++=or
hair ^nn++++=hair
covered ^vbd+++xvbn+=covered
in ^in++++=in
ocher ^nn++++=ocher.
. ^zz++++=EXTRAWORD
The ^ati++++=The
beads ^nns++++=beads
we ^pp1a+pp1+++=we
report ^vb++++=report
on ^in++++=on
from ^in++++=from
Hohle ^np+++??+=Hohle
Fels ^np+++??+=Fels
appear ^vb+seem+++=appear
to ^to+vcmp+++=to
have ^vbi++++=have
been ^vprf+ben+aux+xvbn+=been
more ^rbr++splt++=more
heavily ^rb++++=heavily
worn ^xvbn+++xvbn+=worn
than ^in++++=than
their ^pp$+pp3+++=their
Vogelherd ^np+++??+=Vogelherd
counterparts ^nns++++=counterparts,
, ^zz++++=EXTRAWORD
suggested ^vpbn+vpub++xvbn+=suggested
by ^in++++=by
the ^ati++++=the
appearance ^nn+nom+++=appearance
of ^in++++=of
polish ^jj++++=polish
and ^cc++++=and
patina ^nn+++??+=patina
around ^rp++++=around
certain ^jj+atrb+++=certain
areas ^nns++++=areas,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^rb++++=in
general ^rb"++++=general
have ^vb+hv+vrb++=have
less ^rbr++++=less
visible ^jj+atrb+++=visible
ocher ^jjr+atrb+++=ocher
residue ^nn++++=residue
in ^in++++=in
their ^pp$+pp3+++=their
perforations ^nns+nom+++=perforations
( ^zz++++=(although
although ^cs+con+++=EXTRAWORD
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
difficult ^jj+pred+++=difficult
to ^in+jcmp+++=to
quantifiably ^jj+atrb+++=quantifiably
measure ^nn++++=measure).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
previous ^jj+atrb+++=previous
bead ^nn++++=bead
polishing ^vwbg+++xvbg+=polishing
experiments ^nns+nom+++=experiments,
, ^zz++++=EXTRAWORD
Allard ^np+++??+=Allard
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(1997)
1997 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
noted ^vbd+vprv++xvbn+=noted
that ^tht+vcmp+++=that
when ^wrb+who+++=when
use ^nn++++=use-wear
- ^zz++++=EXTRAWORD
wear ^vb++++=EXTRAWORD
associated ^vbd+++xvbn+=associated
with ^in++++=with
suspension ^nn++++=suspension
was ^vbd+bedz+aux++=was
