Cochet ^np+++??+=Cochet
and ^cc++++=and
Byrne ^np+++??+=Byrne
( ^zz++++=(2013)
2013 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
give ^vb++++=give
a ^at++++=a
good ^jj+atrb+++=good
overview ^nn+++??+=overview
of ^in++++=of
the ^ati++++=the
different ^jj+atrb+++=different
theories ^nns++++=theories
on ^in++++=on
the ^ati++++=the
evolution ^nn+nom+++=evolution
of ^in++++=of
handedness ^nns+nom+++=handedness
in ^in++++=in
humans ^nns++++=humans,
, ^zz++++=EXTRAWORD
focusing ^jj+++xvbg+=focusing
on ^in++++=on
four ^cd++++=four
core ^nn++++=core
drivers ^nns+nom+++=drivers
for ^in++++=for
handedness ^nns+nom+++=handedness
bias ^nn++++=bias,
, ^zz++++=EXTRAWORD
some ^dti++++=some
of ^in++++=of
which ^whp+rel+pied++=which
we ^pp1a+pp1+++=we
will ^md+prd+++=will
describe ^vb++++=describe
in ^in++++=in
more ^rbr++++=more
detail ^nn++++=detail
below ^in+strn+++=below:
: ^zz++++=EXTRAWORD
Skilled ^jj+atrb+++=Skilled,
, ^zz++++=EXTRAWORD
manipulative ^jj+atrb+++=manipulative
activity ^nn+nom+++=activity
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
tool ^nn++++=tool
use ^nn++++=use),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
communicative ^jj+atrb+++=communicative
gestures ^nns++++=gestures,
, ^zz++++=EXTRAWORD
organizational ^jj+atrb+++=organizational
complexity ^nn+nom+++=complexity
of ^in++++=of
action ^nn++++=action,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
goal ^nn++++=goal-directed
- ^zz++++=EXTRAWORD
directed ^vbd+++xvbn+=EXTRAWORD
action ^nn++++=action
( ^zz++++=(
cochet ^np++++=Cochet
and ^cc++++=and
byrne ^np++++=Byrne,
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013
) ^zz++++=).
. ^zz++++=EXTRAWORD
