Resumption ^nn+nom+++=Resumption
of ^in++++=of
the ^ati++++=the
mother ^nn++++=mother's
's ^vbz+bez+vrb++0=EXTRAWORD
sexual ^jj+atrb+++=sexual
swelling ^nn+nom+++=swelling
cycle ^nn++++=cycle
is ^vbz+bez+vrb++=is
a ^at++++=a
key ^jjb+atrb+++=key
event ^nn++++=event
in ^in++++=in
the ^ati++++=the
weaning ^jj+atrb+++=weaning
process ^nns+nom+++=process
and ^cc++++=and
coincided ^vpsv++agls+xvbn+=coincided
with ^in++++=with
the ^ati++++=the
formation ^nn+nom+++=formation
of ^in++++=of
accentuated ^jj+atrb++xvbn+=accentuated
lines ^nns++++=lines
in ^in++++=in
Pb ^np+++??+=PB
and ^cc++++=and
17e2 ^cd+date+++=17E2.
. ^zz++++=EXTRAWORD
5d3a ^cd++++=5D3A
also ^rb++++=also
formed ^vbd+++xvbn+=formed
an ^at++++=an
accentuated ^jj+atrb++xvbn+=accentuated
line ^nn++++=line
during ^in++++=during
her ^pp3o+pp3+++=her
mother ^npt++++=mother's
's ^$++++=EXTRAWORD
first ^od++++=first
recorded ^vbd+vpub++xvbn+=recorded
sexual ^jj+atrb+++=sexual
swelling ^nn+nom+++=swelling
cycle ^nn++++=cycle
following ^vwbg+++xvbg+=following
her ^pp3o+pp3+++=her
birth ^nn++++=birth,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
her ^pp3o+pp3+++=her
mother ^npt++++=mother
may ^md+pos+++=may
have ^vb+hv+aux++=have
cycled ^vprf+++xvbnx+=cycled
during ^in++++=during
the ^ati++++=the
previous ^jj++++=previous
few ^ap++++=few
weeks ^nns++++=weeks
for ^in++++=for
which ^whp+rel+pied++=which
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
no ^at++++=no
sexual ^jj+atrb+++=sexual
swelling ^nn+nom+++=swelling
observations ^nns+nom+++=observations.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
patterns ^nns++++=patterns
partially ^rb+down+++=partially
support ^vb++++=support
the ^ati++++=the
hypothesis ^nn++++=hypothesis
that ^tht+ncmp+++=that
accentuated ^vprf+++xvbn+=accentuated
lines ^nns++++=lines
occur ^vb++++=occur
during ^in++++=during
weaning ^jj++++=weaning
( ^zz++++=(
Dirks ^np++++=Dirks
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2010 ^cd++++=2010
) ^zz++++=).
. ^zz++++=EXTRAWORD
Weaning ^jj+atrb+++=Weaning
conflict ^nn++++=conflict
is ^vbz+bez+aux++=is
thought ^vpsv++agls+xvbnx+=thought
to ^to+vcmp+++=to
be ^vbi++vrb++=be
particularly ^rb++++=particularly
intense ^jj+pred+++=intense
when ^wrb+who+++=when
mothers ^nns+nom+++=mothers
resume ^vb++++=resume
cycling ^vbg+nom++xvbg+=cycling
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Berman ^np+++??+=Berman
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1994 ^cd+date+++=1994
; ^zz++++=;
Lee ^nn++++=Lee,
, ^zz++++=EXTRAWORD
1997 ^cd+date+++=1997
) ^zz++++=).
. ^zz++++=EXTRAWORD
The ^ati++++=The
mother ^nn++++=mother's
's ^$++++=EXTRAWORD
decreased ^vbd+++xvbn+=decreased
attention ^nn+nom+++=attention
to ^in++++=to
the ^ati++++=the
infant ^nn++++=infant,
, ^zz++++=EXTRAWORD
increased ^jj+atrb++xvbn+=increased
mobility ^nn+nom+++=mobility
and ^cc++++=and
mating ^nn++++=mating
activity ^nn+nom+++=activity
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
resumes ^vbz++++=resumes
cycling ^xvbg+++xvbg+=cycling
gives ^vbz++++=gives
the ^ati++++=the
infant ^nn++++=infant
less ^rbr++++=less
physical ^jj+atrb+++=physical
access ^nn++++=access
to ^in++++=to
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
including ^in++++=including
decreased ^vprf+++xvbn+=decreased
time ^nn++++=time
on ^in++++=on
the ^ati++++=the
nipple ^nn++++=nipple
and ^cc++++=and
less ^rbr++++=less
time ^nn++++=time
carried ^vbd+++xvbn+=carried
( ^zz++++=(Setchell,
setchell ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
pers ^nn++++=pers.
. ^zz++++=EXTRAWORD
obs ^nns+++??+=obs.;
. ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
Barrett ^np+++??+=Barrett,
, ^zz++++=EXTRAWORD
pers ^nn++++=pers.
. ^zz++++=EXTRAWORD
comm. ^nn+++??+=comm.),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
may ^md+pos+++=may
increase ^vb++++=increase
infant ^nn++++=infant
stress ^nn++++=stress
levels ^nns++++=levels.
. ^zz++++=EXTRAWORD
