Lateral ^jj+atrb+++=Lateral
preference ^nn+nom+++=preference
for ^in++++=for
using ^xvbg+++xvbg+=using
one ^cd1++++=one
hand ^nn++++=hand
or ^cc++++=or
paw ^npt++++=paw
over ^in++++=over
the ^ati++++=the
other ^ap++++=other
seems ^vbz+seem+++=seems
to ^to+vcmp+++=to
be ^vbi++vrb++=be
a ^at++++=a
general ^jj+atrb+++=general
organizational ^jj+atrb+++=organizational
principle ^nn++++=principle
in ^in++++=in
animals ^nns+nom+++=animals,
, ^zz++++=EXTRAWORD
including ^in++++=including
humans ^nns++++=humans
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Bisazza ^np+++??+=Bisazza
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1998 ^cd+date+++=1998
; ^zz++++=;
Bradshaw ^np+++??+=Bradshaw,
, ^zz++++=EXTRAWORD
1988 ^cd+date+++=1988
; ^zz++++=;
Mcmanus ^np+++??+=McManus,
, ^zz++++=EXTRAWORD
2004 ^cd++++=2004
) ^zz++++=).
. ^zz++++=EXTRAWORD
Interestingly ^rb+cnj+++=Interestingly,
, ^zz++++=EXTRAWORD
human ^jj+atrb+++=human
hand ^nn++++=hand
preference ^nn+nom+++=preference
has ^vbz+hvz+vrb++=has
by ^in++++=by
far ^rb+pl+++=far
the ^ati++++=the
strongest ^jjt+atrb+++=strongest
bias ^nn++++=bias
both ^abx++++=both
on ^in++++=on
the ^ati++++=the
individual ^nn+nom+++=individual
and ^cc++++=and
population ^nn+nom+++=population
level ^nn++++=level.
. ^zz++++=EXTRAWORD
The ^ati++++=The
function ^nn+nom+++=function
and ^cc++++=and
evolution ^nn+nom+++=evolution
of ^in++++=of
this ^dt+dem+++=this
trait ^nn++++=trait
in ^in++++=in
humans ^nns++++=humans
are ^vb+ber+vrb++=are,
, ^zz++++=EXTRAWORD
despite ^in++++=despite
its ^pp$+it+++=its
omnipresence ^nn+nom+++=omnipresence,
, ^zz++++=EXTRAWORD
still ^rb++++=still
not ^xnot++not++=not
well ^jj+pred+++=well
understood ^vbd+vprv++xvbn+=understood,
, ^zz++++=EXTRAWORD
especially ^rb++++=especially
the ^ati++++=the
strong ^jj+atrb+++=strong
bias ^nn++++=bias
of ^in++++=of
hand ^nn++++=hand
preference ^nn+nom+++=preference
at ^in++++=at
the ^ati++++=the
population ^nn+nom+++=population
level ^nn++++=level.
. ^zz++++=EXTRAWORD
