Bison ^np+++??+=Bison
priscus ^nns+++??+=priscus
and ^cc++++=and
Ovis ^np+++??+=Ovis
ammon ^np++++=ammon
teeth ^nns++++=teeth
were ^vbd+bed+aux++=were
additionally ^rb++splt++=additionally
examined ^vpsv++agls+xvbnx+=examined
and ^cc++++=and
sampled ^jj+++xvbn+=sampled
as ^ql++++=as
a ^at++++=a
control ^nn++++=control
to ^in++++=to
test ^nn++++=test
for ^in++++=for
potential ^jj+atrb+++=potential
museum ^npl++++=museum
or ^cc++++=or
site ^nn++++=site
microremain ^nn+++??+=microremain
contamination ^nn+nom+++=contamination.
. ^zz++++=EXTRAWORD
Calculus ^np+++??+=Calculus
deposits ^nns++++=deposits
were ^vbd+bed+vrb++=were
sparse ^nn+++??+=sparse
on ^in++++=on
these ^dt+dem+++=these
teeth ^nns++++=teeth
so ^ql++++=so
sediment ^nn+nom+++=sediment
traces ^nns++++=traces
adhering ^vwbg+++xvbg+=adhering
to ^in++++=to
the ^ati++++=the
tooth ^nn++++=tooth
surface ^nn++++=surface
and ^cc++++=and
calculus ^nns+++??+=calculus
was ^vbd+bedz+vrb++=was
both ^abx++++=both
sampled ^jj+++xvbn+=sampled
from ^in++++=from
these ^dt+dem+++=these
teeth ^nns++++=teeth
in ^in++++=in
comparable ^jj+atrb+++=comparable
volumes ^nns++++=volumes
to ^to++++=to
the ^ati++++=the
neanderthal ^np+nom+++=Neanderthal
calculus ^nns++++=calculus
samples ^nns++++=samples.
. ^zz++++=EXTRAWORD
